sample	reads
NAO-ONT-20250127-Zephyr9_15-div0007	17177
NAO-ONT-20250127-Zephyr9_15-div0008	16999
NAO-ONT-20250127-Zephyr9_15-div0009	15133
NAO-ONT-20250127-Zephyr9_15-div0010	16438
NAO-ONT-20250127-Zephyr9_15-div0011	15413
NAO-ONT-20250127-Zephyr9_15-div0012	32629
NAO-ONT-20250127-Zephyr9_15-div0013	28856
NAO-ONT-20250127-Zephyr9_15-div0014	26706
NAO-ONT-20250127-Zephyr9_15-div0015	13688
NAO-ONT-20250127-Zephyr9_15-div0016	11710
NAO-ONT-20250127-Zephyr9_15-div0017	23104
NAO-ONT-20250127-Zephyr9_15-div0018	23579
NAO-ONT-20250127-Zephyr9_15-div0019	27166
NAO-ONT-20250127-Zephyr9_15-div0020	21954
NAO-ONT-20250127-Zephyr9_15-div0021	30027
NAO-ONT-20250127-Zephyr9_15-div0022	20042
NAO-ONT-20250127-Zephyr9_15-div0023	21491
NAO-ONT-20250127-Zephyr9_15-div0024	9615
NAO-ONT-20250127-Zephyr9_15-div0025	24539
NAO-ONT-20250127-Zephyr9_15-div0026	26854
NAO-ONT-20250127-Zephyr9_15-div0027	21358
NAO-ONT-20250127-Zephyr9_15-div0028	27577
NAO-ONT-20250127-Zephyr9_15-div0029	23851
NAO-ONT-20250127-Zephyr9_15-div0030	22747
NAO-ONT-20250127-Zephyr9_15-div0031	20981
NAO-ONT-20250127-Zephyr9_15-div0032	18997
NAO-ONT-20250127-Zephyr9_16-div0000	9165
NAO-ONT-20250127-Zephyr9_16-div0001	9798
NAO-ONT-20250127-Zephyr9_16-div0002	5252
NAO-ONT-20250127-Zephyr9_16-div0003	4953
NAO-ONT-20250127-Zephyr9_16-div0004	4452
NAO-ONT-20250127-Zephyr9_16-div0005	5071
NAO-ONT-20250127-Zephyr9_16-div0006	4407
NAO-ONT-20250127-Zephyr9_16-div0007	4439
NAO-ONT-20250127-Zephyr9_16-div0008	4255
NAO-ONT-20250127-Zephyr9_16-div0009	3941
NAO-ONT-20250127-Zephyr9_16-div0010	4099
NAO-ONT-20250127-Zephyr9_16-div0011	3802
NAO-ONT-20250127-Zephyr9_16-div0012	9655
NAO-ONT-20250127-Zephyr9_16-div0013	7180
NAO-ONT-20250127-Zephyr9_16-div0014	6679
NAO-ONT-20250127-Zephyr9_16-div0015	3334
NAO-ONT-20250127-Zephyr9_16-div0016	2871
NAO-ONT-20250127-Zephyr9_16-div0017	5805
NAO-ONT-20250127-Zephyr9_16-div0018	5567
NAO-ONT-20250127-Zephyr9_16-div0019	7688
NAO-ONT-20250127-Zephyr9_16-div0020	5370
NAO-ONT-20250127-Zephyr9_16-div0021	7230
NAO-ONT-20250127-Zephyr9_16-div0022	4701
NAO-ONT-20250127-Zephyr9_16-div0023	5013
NAO-ONT-20250127-Zephyr9_16-div0024	2296
NAO-ONT-20250127-Zephyr9_16-div0025	6740
NAO-ONT-20250127-Zephyr9_16-div0026	6351
NAO-ONT-20250127-Zephyr9_16-div0027	5082
NAO-ONT-20250127-Zephyr9_16-div0028	7328
NAO-ONT-20250127-Zephyr9_16-div0029	6336
NAO-ONT-20250127-Zephyr9_16-div0030	5867
NAO-ONT-20250127-Zephyr9_16-div0031	5618
NAO-ONT-20250127-Zephyr9_16-div0032	5004
NAO-ONT-20250127-Zephyr9_17-div0000	1571
NAO-ONT-20250127-Zephyr9_17-div0001	1762
NAO-ONT-20250127-Zephyr9_17-div0002	1187
NAO-ONT-20250127-Zephyr9_17-div0003	1072
NAO-ONT-20250127-Zephyr9_17-div0004	973
NAO-ONT-20250127-Zephyr9_17-div0005	1142
NAO-ONT-20250127-Zephyr9_17-div0006	976
NAO-ONT-20250127-Zephyr9_17-div0007	971
NAO-ONT-20250127-Zephyr9_17-div0008	1023
NAO-ONT-20250127-Zephyr9_17-div0009	911
NAO-ONT-20250127-Zephyr9_17-div0010	992
NAO-ONT-20250127-Zephyr9_17-div0011	843
NAO-ONT-20250127-Zephyr9_17-div0012	1782
NAO-ONT-20250127-Zephyr9_17-div0013	1583
NAO-ONT-20250127-Zephyr9_17-div0014	1554
NAO-ONT-20250127-Zephyr9_17-div0015	773
NAO-ONT-20250127-Zephyr9_17-div0016	692
NAO-ONT-20250127-Zephyr9_17-div0017	1336
NAO-ONT-20250127-Zephyr9_17-div0018	1321
NAO-ONT-20250127-Zephyr9_17-div0019	1538
NAO-ONT-20250127-Zephyr9_17-div0020	1296
NAO-ONT-20250127-Zephyr9_17-div0021	1774
NAO-ONT-20250127-Zephyr9_17-div0022	1192
NAO-ONT-20250127-Zephyr9_17-div0023	1234
NAO-ONT-20250127-Zephyr9_17-div0024	597
NAO-ONT-20250127-Zephyr9_17-div0025	1357
NAO-ONT-20250127-Zephyr9_17-div0026	1571
NAO-ONT-20250127-Zephyr9_17-div0027	1312
NAO-ONT-20250127-Zephyr9_17-div0028	1542
NAO-ONT-20250127-Zephyr9_17-div0029	1370
NAO-ONT-20250127-Zephyr9_17-div0030	1245
NAO-ONT-20250127-Zephyr9_17-div0031	1191
NAO-ONT-20250127-Zephyr9_17-div0032	1067
NAO-ONT-20250213-Zephyr10-01-div0001	1968
NAO-ONT-20250213-Zephyr10-01-div0002	1275
NAO-ONT-20250213-Zephyr10-01-div0003	2199
NAO-ONT-20250213-Zephyr10-01-div0004	1479
NAO-ONT-20250213-Zephyr10-01-div0005	2353
NAO-ONT-20250213-Zephyr10-01-div0006	1810
NAO-ONT-20250213-Zephyr10-01-div0007	1547
NAO-ONT-20250213-Zephyr10-01-div0008	1879
NAO-ONT-20250213-Zephyr10-01-div0009	1785
NAO-ONT-20250213-Zephyr10-01-div0010	1299
NAO-ONT-20250213-Zephyr10-01-div0011	1291
NAO-ONT-20250213-Zephyr10-01-div0012	1502
NAO-ONT-20250213-Zephyr10-01-div0013	1589
NAO-ONT-20250213-Zephyr10-01-div0014	1415
NAO-ONT-20250213-Zephyr10-01-div0015	992
NAO-ONT-20250213-Zephyr10-01-div0016	1614
NAO-ONT-20250213-Zephyr10-01-div0017	2129
NAO-ONT-20250213-Zephyr10-01-div0018	1168
NAO-ONT-20250213-Zephyr10-01-div0019	1450
NAO-ONT-20250213-Zephyr10-01-div0020	799
NAO-ONT-20250213-Zephyr10-01-div0021	1814
NAO-ONT-20250213-Zephyr10-01-div0022	1621
NAO-ONT-20250213-Zephyr10-01-div0023	1665
NAO-ONT-20250213-Zephyr10-01-div0024	1414
NAO-ONT-20250213-Zephyr10-01-div0025	1901
NAO-ONT-20250213-Zephyr10-01-div0026	2303
NAO-ONT-20250213-Zephyr10-01-div0027	963
NAO-ONT-20250213-Zephyr10-01-div0028	2279
NAO-ONT-20250213-Zephyr10-01-div0029	1603
NAO-ONT-20250213-Zephyr10-01-div0030	2304
NAO-ONT-20250213-Zephyr10-01-div0031	1375
NAO-ONT-20250213-Zephyr10-01-div0032	1548
NAO-ONT-20250213-Zephyr10-01-div0033	1903
NAO-ONT-20250213-Zephyr10-01-div0034	795
NAO-ONT-20250213-Zephyr10-01-div0035	1678
NAO-ONT-20250213-Zephyr10-01-div0036	1714
NAO-ONT-20250213-Zephyr10-01-div0037	1707
NAO-ONT-20250213-Zephyr10-01-div0038	1986
NAO-ONT-20250213-Zephyr10-01-div0039	1951
NAO-ONT-20250213-Zephyr10-01-div0040	1258
NAO-ONT-20250213-Zephyr10-01-div0041	1829
NAO-ONT-20250213-Zephyr10-01-div0042	1763
NAO-ONT-20250213-Zephyr10-01-div0043	996
NAO-ONT-20250213-Zephyr10-01-div0044	1489
